REAPER ACTIONS WITH DESCRIPTIONS
Format: ActionID|Description
Generated: 2025-10-03 22:22:34

4|Track: Set volume for selected tracks (MIDI CC/OSC only)
5|Track: Set pan for selected tracks (MIDI CC/OSC only)
6|Track: Toggle mute for selected tracks
7|Track: Toggle solo for selected tracks
8|Track: Toggle FX bypass for selected tracks
9|Track: Toggle record arm for selected tracks
10|Track: Set mute for selected tracks (MIDI CC/OSC only)
11|Track: Set solo for selected tracks (MIDI CC/OSC only)
12|Track: Set volume for master track (MIDI CC/OSC only)
13|Track: Set pan for master track (MIDI CC/OSC only)
14|Track: Toggle mute for master track
15|Track: Toggle solo for master track
16|Track: Toggle FX bypass for master track
18|Track: Set mute for master track (MIDI CC/OSC only)
19|Track: Set solo for master track (MIDI CC/OSC only)
20|Track: Set volume for track 01 (MIDI CC/OSC only)
21|Track: Set pan for track 01 (MIDI CC/OSC only)
22|Track: Toggle mute for track 01
23|Track: Toggle solo for track 01
24|Track: Toggle FX bypass for track 01
25|Track: Toggle record arm for track 01
26|Track: Set mute for track 01 (MIDI CC/OSC only)
27|Track: Set solo for track 01 (MIDI CC/OSC only)
28|Track: Set volume for track 02 (MIDI CC/OSC only)
29|Track: Set pan for track 02 (MIDI CC/OSC only)
30|Track: Toggle mute for track 02
31|Track: Toggle solo for track 02
32|Track: Toggle FX bypass for track 02
33|Track: Toggle record arm for track 02
34|Track: Set mute for track 02 (MIDI CC/OSC only)
35|Track: Set solo for track 02 (MIDI CC/OSC only)
36|Track: Set volume for track 03 (MIDI CC/OSC only)
37|Track: Set pan for track 03 (MIDI CC/OSC only)
38|Track: Toggle mute for track 03
39|Track: Toggle solo for track 03
40|Track: Toggle FX bypass for track 03
41|Track: Toggle record arm for track 03
42|Track: Set mute for track 03 (MIDI CC/OSC only)
43|Track: Set solo for track 03 (MIDI CC/OSC only)
44|Track: Set volume for track 04 (MIDI CC/OSC only)
45|Track: Set pan for track 04 (MIDI CC/OSC only)
46|Track: Toggle mute for track 04
47|Track: Toggle solo for track 04
48|Track: Toggle FX bypass for track 04
49|Track: Toggle record arm for track 04
50|Track: Set mute for track 04 (MIDI CC/OSC only)
51|Track: Set solo for track 04 (MIDI CC/OSC only)
52|Track: Set volume for track 05 (MIDI CC/OSC only)
53|Track: Set pan for track 05 (MIDI CC/OSC only)
54|Track: Toggle mute for track 05
55|Track: Toggle solo for track 05
56|Track: Toggle FX bypass for track 05
